Datum,BundeslandID,Name,TestungenApotheken,TestungenApothekenPCR,TestungenApothekenAntigen,TestungenBetriebe
2021-05-28,1,Burgenland,389526,NA,389526,268577
2021-05-28,2,Kärnten,317320,NA,317320,139525
2021-05-28,3,Niederösterreich,705598,NA,705598,834273
2021-05-28,4,Oberösterreich,594527,NA,594527,518393
2021-05-28,5,Salzburg,417666,NA,417666,178168
2021-05-28,6,Steiermark,953545,NA,953545,691674
2021-05-28,7,Tirol,508622,NA,508622,118673
2021-05-28,8,Vorarlberg,468392,NA,468392,104716
2021-05-28,9,Wien,1844747,NA,1844747,645292
2021-05-28,10,Österreich,6199943,NA,6199943,3499291
2021-05-29,1,Burgenland,401230,NA,401230,271266
2021-05-29,2,Kärnten,329364,NA,329364,143576
2021-05-29,3,Niederösterreich,732647,NA,732647,849414
2021-05-29,4,Oberösterreich,612070,NA,612070,526574
2021-05-29,5,Salzburg,428863,NA,428863,181390
2021-05-29,6,Steiermark,988163,NA,988163,704132
2021-05-29,7,Tirol,525436,NA,525436,121066
2021-05-29,8,Vorarlberg,482799,NA,482799,106595
2021-05-29,9,Wien,1916338,NA,1916338,653713
2021-05-29,10,Österreich,6416910,NA,6416910,3557726
2021-05-30,1,Burgenland,402625,NA,402625,272519
2021-05-30,2,Kärnten,331069,NA,331069,145037
2021-05-30,3,Niederösterreich,738579,NA,738579,857002
2021-05-30,4,Oberösterreich,613944,NA,613944,527439
2021-05-30,5,Salzburg,429275,NA,429275,181866
2021-05-30,6,Steiermark,993821,NA,993821,705953
2021-05-30,7,Tirol,526526,NA,526526,122435
2021-05-30,8,Vorarlberg,487873,NA,487873,106904
2021-05-30,9,Wien,1929723,NA,1929723,655368
2021-05-30,10,Österreich,6453435,NA,6453435,3574523
2021-05-31,1,Burgenland,403922,NA,403922,273220
2021-05-31,2,Kärnten,331482,NA,331482,145826
2021-05-31,3,Niederösterreich,740313,NA,740313,861723
2021-05-31,4,Oberösterreich,614630,NA,614630,529729
2021-05-31,5,Salzburg,429708,NA,429708,182528
2021-05-31,6,Steiermark,995444,NA,995444,708979
2021-05-31,7,Tirol,526926,NA,526926,128118
2021-05-31,8,Vorarlberg,492605,NA,492605,107308
2021-05-31,9,Wien,1932898,NA,1932898,657067
2021-05-31,10,Österreich,6467928,NA,6467928,3594498
2021-06-01,1,Burgenland,411322,NA,411322,278429
2021-06-01,2,Kärnten,338409,NA,338409,150042
2021-06-01,3,Niederösterreich,756877,NA,756877,881777
2021-06-01,4,Oberösterreich,625693,NA,625693,545466
2021-06-01,5,Salzburg,436883,NA,436883,186932
2021-06-01,6,Steiermark,1018496,NA,1018496,727776
2021-06-01,7,Tirol,536736,NA,536736,130865
2021-06-01,8,Vorarlberg,499557,NA,499557,108973
2021-06-01,9,Wien,1990287,NA,1990287,675148
2021-06-01,10,Österreich,6614260,NA,6614260,3685408
2021-06-02,1,Burgenland,416777,NA,416777,283655
2021-06-02,2,Kärnten,344329,NA,344329,153710
2021-06-02,3,Niederösterreich,769823,NA,769823,897628
2021-06-02,4,Oberösterreich,635108,NA,635108,555455
2021-06-02,5,Salzburg,442505,NA,442505,190365
2021-06-02,6,Steiermark,1036681,NA,1036681,740903
2021-06-02,7,Tirol,544398,NA,544398,133239
2021-06-02,8,Vorarlberg,505677,NA,505677,110507
2021-06-02,9,Wien,2034204,NA,2034204,688549
2021-06-02,10,Österreich,6729502,NA,6729502,3754011
2021-06-03,1,Burgenland,425788,NA,425788,289495
2021-06-03,2,Kärnten,355094,NA,355094,158611
2021-06-03,3,Niederösterreich,789809,NA,789809,916841
2021-06-03,4,Oberösterreich,649421,NA,649421,566746
2021-06-03,5,Salzburg,451909,NA,451909,198189
2021-06-03,6,Steiermark,1065807,NA,1065807,758845
2021-06-03,7,Tirol,558401,NA,558401,136793
2021-06-03,8,Vorarlberg,515081,NA,515081,112442
2021-06-03,9,Wien,2094850,NA,2094850,704035
2021-06-03,10,Österreich,6906160,NA,6906160,3841997
2021-06-04,1,Burgenland,427438,NA,427438,290210
2021-06-04,2,Kärnten,356052,NA,356052,159427
2021-06-04,3,Niederösterreich,791853,NA,791853,919855
2021-06-04,4,Oberösterreich,650275,NA,650275,567832
2021-06-04,5,Salzburg,452246,NA,452246,198582
2021-06-04,6,Steiermark,1067023,NA,1067023,761394
2021-06-04,7,Tirol,559284,NA,559284,138173
2021-06-04,8,Vorarlberg,520315,NA,520315,113133
2021-06-04,9,Wien,2100197,NA,2100197,705270
2021-06-04,10,Österreich,6924683,NA,6924683,3853876
2021-06-05,1,Burgenland,437093,NA,437093,293787
2021-06-05,2,Kärnten,365215,NA,365215,163215
2021-06-05,3,Niederösterreich,813928,NA,813928,932634
2021-06-05,4,Oberösterreich,662415,NA,662415,573422
2021-06-05,5,Salzburg,459512,NA,459512,200882
2021-06-05,6,Steiermark,1094126,NA,1094126,766967
2021-06-05,7,Tirol,571724,NA,571724,139880
2021-06-05,8,Vorarlberg,531652,NA,531652,114163
2021-06-05,9,Wien,2162863,NA,2162863,724890
2021-06-05,10,Österreich,7098528,NA,7098528,3909840
2021-06-06,1,Burgenland,441583,NA,441583,295088
2021-06-06,2,Kärnten,369145,NA,369145,164608
2021-06-06,3,Niederösterreich,824238,NA,824238,937836
2021-06-06,4,Oberösterreich,667500,NA,667500,574003
2021-06-06,5,Salzburg,462628,NA,462628,201264
2021-06-06,6,Steiermark,1103378,NA,1103378,768665
2021-06-06,7,Tirol,576662,NA,576662,140462
2021-06-06,8,Vorarlberg,539324,NA,539324,114380
2021-06-06,9,Wien,2189165,NA,2189165,727010
2021-06-06,10,Österreich,7173623,NA,7173623,3923316
2021-06-07,1,Burgenland,442847,NA,442847,295874
2021-06-07,2,Kärnten,369469,NA,369469,165193
2021-06-07,3,Niederösterreich,826218,NA,826218,942191
2021-06-07,4,Oberösterreich,668251,NA,668251,576379
2021-06-07,5,Salzburg,463072,NA,463072,201994
2021-06-07,6,Steiermark,1105084,NA,1105084,773826
2021-06-07,7,Tirol,577061,NA,577061,141262
2021-06-07,8,Vorarlberg,542692,NA,542692,114790
2021-06-07,9,Wien,2193029,NA,2193029,729798
2021-06-07,10,Österreich,7187723,NA,7187723,3941307
2021-06-08,1,Burgenland,449439,NA,449439,302024
2021-06-08,2,Kärnten,375861,NA,375861,168743
2021-06-08,3,Niederösterreich,841363,NA,841363,961428
2021-06-08,4,Oberösterreich,677398,NA,677398,588802
2021-06-08,5,Salzburg,468654,NA,468654,210050
2021-06-08,6,Steiermark,1125368,NA,1125368,789639
2021-06-08,7,Tirol,585161,NA,585161,145332
2021-06-08,8,Vorarlberg,548488,NA,548488,120370
2021-06-08,9,Wien,2247877,NA,2247877,748732
2021-06-08,10,Österreich,7319609,NA,7319609,4035120
2021-06-09,1,Burgenland,453974,NA,453974,304363
2021-06-09,2,Kärnten,380125,NA,380125,170980
2021-06-09,3,Niederösterreich,852134,NA,852134,971582
2021-06-09,4,Oberösterreich,683800,NA,683800,594755
2021-06-09,5,Salzburg,472722,NA,472722,212220
2021-06-09,6,Steiermark,1138770,NA,1138770,798687
2021-06-09,7,Tirol,590947,NA,590947,146819
2021-06-09,8,Vorarlberg,553234,NA,553234,121305
2021-06-09,9,Wien,2286497,NA,2286497,756877
2021-06-09,10,Österreich,7412203,NA,7412203,4077588
2021-06-10,1,Burgenland,459197,NA,459197,307151
2021-06-10,2,Kärnten,385272,NA,385272,173388
2021-06-10,3,Niederösterreich,864070,NA,864070,984199
2021-06-10,4,Oberösterreich,690988,NA,690988,601219
2021-06-10,5,Salzburg,476833,NA,476833,214931
2021-06-10,6,Steiermark,1154595,NA,1154595,808620
2021-06-10,7,Tirol,597672,NA,597672,148373
2021-06-10,8,Vorarlberg,558490,NA,558490,122654
2021-06-10,9,Wien,2329696,NA,2329696,767280
2021-06-10,10,Österreich,7516813,NA,7516813,4127815
2021-06-11,1,Burgenland,463868,NA,463868,310176
2021-06-11,2,Kärnten,389631,NA,389631,175720
2021-06-11,3,Niederösterreich,874939,NA,874939,995440
2021-06-11,4,Oberösterreich,697810,NA,697810,607658
2021-06-11,5,Salzburg,480738,NA,480738,216649
2021-06-11,6,Steiermark,1168206,NA,1168206,816266
2021-06-11,7,Tirol,603701,NA,603701,150347
2021-06-11,8,Vorarlberg,563971,NA,563971,123943
2021-06-11,9,Wien,2369737,NA,2369737,777258
2021-06-11,10,Österreich,7612601,NA,7612601,4173457
2021-06-12,1,Burgenland,471133,NA,471133,313103
2021-06-12,2,Kärnten,397579,NA,397579,179392
2021-06-12,3,Niederösterreich,893265,NA,893265,1007511
2021-06-12,4,Oberösterreich,707954,NA,707954,613500
2021-06-12,5,Salzburg,486705,NA,486705,218885
2021-06-12,6,Steiermark,1190601,NA,1190601,824219
2021-06-12,7,Tirol,613691,NA,613691,152046
2021-06-12,8,Vorarlberg,573143,NA,573143,125386
2021-06-12,9,Wien,2422650,NA,2422650,785577
2021-06-12,10,Österreich,7756721,NA,7756721,4219619
2021-06-13,1,Burgenland,475167,NA,475167,314493
2021-06-13,2,Kärnten,401327,NA,401327,180571
2021-06-13,3,Niederösterreich,903863,NA,903863,1012826
2021-06-13,4,Oberösterreich,713149,NA,713149,614163
2021-06-13,5,Salzburg,489489,NA,489489,219333
2021-06-13,6,Steiermark,1199980,NA,1199980,825709
2021-06-13,7,Tirol,618325,NA,618325,153398
2021-06-13,8,Vorarlberg,581660,NA,581660,125518
2021-06-13,9,Wien,2450938,NA,2450938,787030
2021-06-13,10,Österreich,7833898,NA,7833898,4233041
2021-06-14,1,Burgenland,476394,NA,476394,315191
2021-06-14,2,Kärnten,401626,NA,401626,181190
2021-06-14,3,Niederösterreich,905744,NA,905744,1016559
2021-06-14,4,Oberösterreich,713739,NA,713739,616190
2021-06-14,5,Salzburg,489671,NA,489671,219904
2021-06-14,6,Steiermark,1201427,NA,1201427,828137
2021-06-14,7,Tirol,618616,NA,618616,154122
2021-06-14,8,Vorarlberg,585879,NA,585879,125769
2021-06-14,9,Wien,2455046,NA,2455046,788694
2021-06-14,10,Österreich,7848142,NA,7848142,4245756
2021-06-15,1,Burgenland,482585,NA,482585,318472
2021-06-15,2,Kärnten,407343,NA,407343,183663
2021-06-15,3,Niederösterreich,919106,NA,919106,1029457
2021-06-15,4,Oberösterreich,721639,NA,721639,623537
2021-06-15,5,Salzburg,494658,NA,494658,222846
2021-06-15,6,Steiermark,1218744,NA,1218744,838896
2021-06-15,7,Tirol,626144,NA,626144,155244
2021-06-15,8,Vorarlberg,591858,NA,591858,126959
2021-06-15,9,Wien,2505669,NA,2505669,800207
2021-06-15,10,Österreich,7967746,NA,7967746,4299281
2021-06-16,1,Burgenland,486526,NA,486526,320534
2021-06-16,2,Kärnten,410923,NA,410923,186082
2021-06-16,3,Niederösterreich,928821,NA,928821,1038825
2021-06-16,4,Oberösterreich,727465,NA,727465,628464
2021-06-16,5,Salzburg,498157,NA,498157,224910
