Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-04-01T08:00:00+02:00;3;Niederösterreich;91865
2021-04-01T08:00:00+02:00;4;Oberösterreich;99536
2021-04-01T08:00:00+02:00;5;Salzburg;44366
2021-04-01T08:00:00+02:00;6;Steiermark;66067
2021-04-01T08:00:00+02:00;7;Tirol;53895
2021-04-01T08:00:00+02:00;8;Vorarlberg;24699
2021-04-01T08:00:00+02:00;9;Wien;115676
2021-04-01T08:00:00+02:00;10;Österreich;545965
2021-04-02T08:00:00+02:00;1;Burgenland;15900
2021-04-02T08:00:00+02:00;2;Kärnten;34243
2021-04-02T08:00:00+02:00;3;Niederösterreich;92546
2021-04-02T08:00:00+02:00;4;Oberösterreich;100016
2021-04-02T08:00:00+02:00;5;Salzburg;44572
2021-04-02T08:00:00+02:00;6;Steiermark;66490
2021-04-02T08:00:00+02:00;7;Tirol;54113
2021-04-02T08:00:00+02:00;8;Vorarlberg;24789
2021-04-02T08:00:00+02:00;9;Wien;116496
2021-04-02T08:00:00+02:00;10;Österreich;549165
2021-04-03T08:00:00+02:00;1;Burgenland;15950
2021-04-03T08:00:00+02:00;2;Kärnten;34422
2021-04-03T08:00:00+02:00;3;Niederösterreich;93409
2021-04-03T08:00:00+02:00;4;Oberösterreich;100369
2021-04-03T08:00:00+02:00;5;Salzburg;44796
2021-04-03T08:00:00+02:00;6;Steiermark;66798
2021-04-03T08:00:00+02:00;7;Tirol;54360
2021-04-03T08:00:00+02:00;8;Vorarlberg;24884
2021-04-03T08:00:00+02:00;9;Wien;117589
2021-04-03T08:00:00+02:00;10;Österreich;552577
2021-04-04T08:00:00+02:00;1;Burgenland;16068
2021-04-04T08:00:00+02:00;2;Kärnten;34602
2021-04-04T08:00:00+02:00;3;Niederösterreich;94241
2021-04-04T08:00:00+02:00;4;Oberösterreich;100795
2021-04-04T08:00:00+02:00;5;Salzburg;44912
2021-04-04T08:00:00+02:00;6;Steiermark;67205
2021-04-04T08:00:00+02:00;7;Tirol;54538
2021-04-04T08:00:00+02:00;8;Vorarlberg;24952
2021-04-04T08:00:00+02:00;9;Wien;118227
2021-04-04T08:00:00+02:00;10;Österreich;555540
2021-04-05T08:00:00+02:00;1;Burgenland;16058
2021-04-05T08:00:00+02:00;2;Kärnten;34727
2021-04-05T08:00:00+02:00;3;Niederösterreich;94749
2021-04-05T08:00:00+02:00;4;Oberösterreich;101188
2021-04-05T08:00:00+02:00;5;Salzburg;45034
2021-04-05T08:00:00+02:00;6;Steiermark;67444
2021-04-05T08:00:00+02:00;7;Tirol;54744
2021-04-05T08:00:00+02:00;8;Vorarlberg;24991
2021-04-05T08:00:00+02:00;9;Wien;118783
2021-04-05T08:00:00+02:00;10;Österreich;557718
2021-04-06T08:00:00+02:00;1;Burgenland;16086
2021-04-06T08:00:00+02:00;2;Kärnten;34859
2021-04-06T08:00:00+02:00;3;Niederösterreich;95190
2021-04-06T08:00:00+02:00;4;Oberösterreich;101514
2021-04-06T08:00:00+02:00;5;Salzburg;45157
2021-04-06T08:00:00+02:00;6;Steiermark;67671
2021-04-06T08:00:00+02:00;7;Tirol;54896
2021-04-06T08:00:00+02:00;8;Vorarlberg;25008
2021-04-06T08:00:00+02:00;9;Wien;119473
2021-04-06T08:00:00+02:00;10;Österreich;559854
2021-04-07T08:00:00+02:00;1;Burgenland;16329
2021-04-07T08:00:00+02:00;2;Kärnten;35021
2021-04-07T08:00:00+02:00;3;Niederösterreich;95548
2021-04-07T08:00:00+02:00;4;Oberösterreich;101978
2021-04-07T08:00:00+02:00;5;Salzburg;45332
2021-04-07T08:00:00+02:00;6;Steiermark;67927
2021-04-07T08:00:00+02:00;7;Tirol;55180
2021-04-07T08:00:00+02:00;8;Vorarlberg;25133
2021-04-07T08:00:00+02:00;9;Wien;120509
2021-04-07T08:00:00+02:00;10;Österreich;562957
2021-04-08T08:00:00+02:00;1;Burgenland;16406
2021-04-08T08:00:00+02:00;2;Kärnten;35183
2021-04-08T08:00:00+02:00;3;Niederösterreich;95945
2021-04-08T08:00:00+02:00;4;Oberösterreich;102476
2021-04-08T08:00:00+02:00;5;Salzburg;45595
2021-04-08T08:00:00+02:00;6;Steiermark;68253
2021-04-08T08:00:00+02:00;7;Tirol;55427
2021-04-08T08:00:00+02:00;8;Vorarlberg;25237
2021-04-08T08:00:00+02:00;9;Wien;121504
2021-04-08T08:00:00+02:00;10;Österreich;566026
2021-04-09T08:00:00+02:00;1;Burgenland;16475
2021-04-09T08:00:00+02:00;2;Kärnten;35438
2021-04-09T08:00:00+02:00;3;Niederösterreich;96457
2021-04-09T08:00:00+02:00;4;Oberösterreich;102962
2021-04-09T08:00:00+02:00;5;Salzburg;45717
2021-04-09T08:00:00+02:00;6;Steiermark;68470
2021-04-09T08:00:00+02:00;7;Tirol;55633
2021-04-09T08:00:00+02:00;8;Vorarlberg;25337
2021-04-09T08:00:00+02:00;9;Wien;122139
2021-04-09T08:00:00+02:00;10;Österreich;568628
2021-04-10T08:00:00+02:00;1;Burgenland;16544
2021-04-10T08:00:00+02:00;2;Kärnten;35667
2021-04-10T08:00:00+02:00;3;Niederösterreich;97197
2021-04-10T08:00:00+02:00;4;Oberösterreich;103455
2021-04-10T08:00:00+02:00;5;Salzburg;45914
2021-04-10T08:00:00+02:00;6;Steiermark;68924
2021-04-10T08:00:00+02:00;7;Tirol;55807
2021-04-10T08:00:00+02:00;8;Vorarlberg;25443
2021-04-10T08:00:00+02:00;9;Wien;122960
2021-04-10T08:00:00+02:00;10;Österreich;571911
2021-04-11T08:00:00+02:00;1;Burgenland;16581
2021-04-11T08:00:00+02:00;2;Kärnten;35785
2021-04-11T08:00:00+02:00;3;Niederösterreich;97513
2021-04-11T08:00:00+02:00;4;Oberösterreich;103875
2021-04-11T08:00:00+02:00;5;Salzburg;46033
2021-04-11T08:00:00+02:00;6;Steiermark;69215
2021-04-11T08:00:00+02:00;7;Tirol;55951
2021-04-11T08:00:00+02:00;8;Vorarlberg;25534
2021-04-11T08:00:00+02:00;9;Wien;123516
2021-04-11T08:00:00+02:00;10;Österreich;574003
2021-04-12T08:00:00+02:00;1;Burgenland;16627
2021-04-12T08:00:00+02:00;2;Kärnten;35905
2021-04-12T08:00:00+02:00;3;Niederösterreich;97984
2021-04-12T08:00:00+02:00;4;Oberösterreich;104194
2021-04-12T08:00:00+02:00;5;Salzburg;46097
2021-04-12T08:00:00+02:00;6;Steiermark;69438
2021-04-12T08:00:00+02:00;7;Tirol;56141
2021-04-12T08:00:00+02:00;8;Vorarlberg;25603
2021-04-12T08:00:00+02:00;9;Wien;124075
2021-04-12T08:00:00+02:00;10;Österreich;576064
2021-04-13T08:00:00+02:00;1;Burgenland;16692
2021-04-13T08:00:00+02:00;2;Kärnten;36065
2021-04-13T08:00:00+02:00;3;Niederösterreich;98405
